insert into attendance_detail values(1294, 1248, '10:55', '17:56');
insert into attendance_detail values(158, 151, '09:11', '17:52');
insert into attendance_detail values(159, 152, '09:00', '16:21');
insert into attendance_detail values(160, 153, '09:03', '17:54');
insert into attendance_detail values(161, 154, '09:07', '17:57');
insert into attendance_detail values(162, 155, '09:05', '17:57');
insert into attendance_detail values(163, 156, '09:06', '17:57');
insert into attendance_detail values(294, 287, '09:04', '17:50');
insert into attendance_detail values(295, 288, '09:04', '17:55');
insert into attendance_detail values(296, 289, '09:10', '14:46');
insert into attendance_detail values(297, 290, '09:00', '17:50');
insert into attendance_detail values(298, 291, '09:02', '17:57');
insert into attendance_detail values(299, 292, '09:00', '17:52');
insert into attendance_detail values(300, 293, '09:01', '17:50');
insert into attendance_detail values(301, 294, '09:08', '17:54');
insert into attendance_detail values(302, 295, '09:05', '17:50');
insert into attendance_detail values(303, 296, '09:36', '17:56');
insert into attendance_detail values(304, 297, '09:01', '17:55');
insert into attendance_detail values(305, 298, '09:06', '17:55');
insert into attendance_detail values(306, 299, '09:07', '17:53');
insert into attendance_detail values(307, 300, '09:07', '17:52');
insert into attendance_detail values(308, 301, '09:02', '17:53');
insert into attendance_detail values(309, 302, '09:09', '17:57');
insert into attendance_detail values(310, 303, '09:10', '17:58');
insert into attendance_detail values(311, 304, '09:02', '17:57');
insert into attendance_detail values(312, 305, '09:10', '17:55');
insert into attendance_detail values(313, 306, '09:04', '17:55');
insert into attendance_detail values(314, 307, '09:02', '15:33');
insert into attendance_detail values(315, 308, '10:41', '17:51');
insert into attendance_detail values(316, 309, '09:22', '10:40');
insert into attendance_detail values(317, 309, '11:34', '17:51');
insert into attendance_detail values(318, 310, '09:08', '17:56');
insert into attendance_detail values(319, 311, '09:03', '17:58');
insert into attendance_detail values(320, 312, '09:09', '17:52');
insert into attendance_detail values(321, 313, '09:08', '17:53');
insert into attendance_detail values(322, 314, '09:08', '17:57');
insert into attendance_detail values(323, 315, '09:10', '17:53');
insert into attendance_detail values(324, 316, '09:02', '14:56');
insert into attendance_detail values(325, 317, '09:54', '14:29');
insert into attendance_detail values(326, 317, '15:33', '17:52');
insert into attendance_detail values(327, 318, '09:07', '17:55');
insert into attendance_detail values(328, 319, '09:31', '17:52');
insert into attendance_detail values(329, 320, '09:31', '17:55');
insert into attendance_detail values(330, 321, '09:34', '17:50');
insert into attendance_detail values(331, 322, '09:30', '12:48');
insert into attendance_detail values(332, 322, '13:33', '17:50');
insert into attendance_detail values(333, 323, '09:06', '17:51');
insert into attendance_detail values(334, 324, '09:42', '17:58');
insert into attendance_detail values(335, 325, '09:46', '17:50');
insert into attendance_detail values(336, 326, '09:07', '17:55');
insert into attendance_detail values(337, 327, '09:10', '17:53');
insert into attendance_detail values(338, 328, '09:02', '17:59');
insert into attendance_detail values(339, 329, '09:00', '17:54');
insert into attendance_detail values(340, 330, '09:01', '12:27');
insert into attendance_detail values(341, 330, '13:32', '17:59');
insert into attendance_detail values(342, 331, '09:05', '17:59');
insert into attendance_detail values(343, 332, '09:06', '17:53');
insert into attendance_detail values(344, 333, '09:02', '17:54');
insert into attendance_detail values(345, 334, '09:43', '17:58');
insert into attendance_detail values(346, 335, '09:01', '17:50');
insert into attendance_detail values(347, 336, '09:01', '12:06');
insert into attendance_detail values(348, 336, '13:34', '17:56');
insert into attendance_detail values(349, 337, '09:00', '17:50');
insert into attendance_detail values(350, 338, '09:44', '17:50');
insert into attendance_detail values(403, 391, '09:08', '17:55');
insert into attendance_detail values(404, 392, '09:00', '17:59');
insert into attendance_detail values(405, 393, '09:06', '17:52');
insert into attendance_detail values(406, 394, '09:09', '17:52');
insert into attendance_detail values(407, 395, '09:05', '17:54');
insert into attendance_detail values(408, 396, '10:34', '17:53');
insert into attendance_detail values(409, 397, '09:05', '17:59');
insert into attendance_detail values(410, 398, '09:01', '17:51');
insert into attendance_detail values(411, 399, '09:06', '17:50');
insert into attendance_detail values(412, 400, '09:02', '17:54');
insert into attendance_detail values(413, 401, '10:59', '17:56');
insert into attendance_detail values(414, 402, '09:02', '17:58');
insert into attendance_detail values(415, 403, '09:32', '17:54');
insert into attendance_detail values(416, 404, '09:09', '17:57');
insert into attendance_detail values(417, 405, '09:05', '17:54');
insert into attendance_detail values(418, 406, '09:05', '17:55');
insert into attendance_detail values(419, 407, '10:11', '17:58');
insert into attendance_detail values(420, 408, '09:01', '17:55');
insert into attendance_detail values(421, 409, '09:10', '17:52');
insert into attendance_detail values(422, 410, '09:07', '17:59');
insert into attendance_detail values(423, 411, '09:07', '17:53');
insert into attendance_detail values(424, 412, '09:01', '17:58');
insert into attendance_detail values(425, 413, '09:03', '17:58');
insert into attendance_detail values(426, 414, '09:05', '17:56');
insert into attendance_detail values(427, 415, '09:03', '14:15');
insert into attendance_detail values(428, 415, '15:44', '17:50');
insert into attendance_detail values(429, 416, '09:01', '17:57');
insert into attendance_detail values(430, 417, '09:10', '17:51');
insert into attendance_detail values(431, 418, '09:02', '17:51');
insert into attendance_detail values(432, 419, '09:02', '17:56');
insert into attendance_detail values(433, 420, '09:00', '17:58');
insert into attendance_detail values(434, 421, '09:05', '17:53');
insert into attendance_detail values(435, 422, '10:57', '12:48');
insert into attendance_detail values(436, 423, '09:05', '17:53');
insert into attendance_detail values(437, 424, '09:06', '17:52');
insert into attendance_detail values(438, 425, '10:12', '15:59');
insert into attendance_detail values(439, 426, '09:06', '17:54');
insert into attendance_detail values(440, 427, '09:10', '17:54');
insert into attendance_detail values(441, 428, '09:04', '17:59');
insert into attendance_detail values(442, 429, '09:02', '14:30');
insert into attendance_detail values(443, 429, '15:33', '17:50');
insert into attendance_detail values(444, 430, '09:07', '17:57');
insert into attendance_detail values(445, 431, '09:06', '17:59');
insert into attendance_detail values(446, 432, '09:09', '17:55');
insert into attendance_detail values(447, 433, '09:16', '17:55');
insert into attendance_detail values(448, 434, '09:10', '17:56');
insert into attendance_detail values(449, 435, '09:01', '17:57');
insert into attendance_detail values(450, 436, '09:09', '17:54');
insert into attendance_detail values(451, 437, '10:24', '10:55');
insert into attendance_detail values(452, 438, '09:10', '17:55');
insert into attendance_detail values(453, 439, '09:08', '17:54');
insert into attendance_detail values(454, 440, '09:00', '17:54');
insert into attendance_detail values(455, 441, '10:51', '11:36');
insert into attendance_detail values(456, 442, '09:03', '17:59');
insert into attendance_detail values(457, 443, '09:03', '17:55');
insert into attendance_detail values(458, 444, '09:07', '17:51');
insert into attendance_detail values(459, 445, '09:05', '17:57');
insert into attendance_detail values(460, 446, '09:36', '17:52');
insert into attendance_detail values(461, 447, '09:02', '17:57');
insert into attendance_detail values(462, 448, '10:59', '17:55');
insert into attendance_detail values(463, 449, '09:03', '17:57');
insert into attendance_detail values(464, 450, '09:01', '17:50');
insert into attendance_detail values(465, 451, '09:06', '17:53');
insert into attendance_detail values(466, 452, '09:02', '17:51');
insert into attendance_detail values(467, 453, '09:07', '17:59');
insert into attendance_detail values(468, 454, '09:00', '17:59');
insert into attendance_detail values(469, 455, '09:02', '17:57');
insert into attendance_detail values(470, 456, '09:00', '17:50');
insert into attendance_detail values(471, 457, '09:37', '17:58');
insert into attendance_detail values(472, 458, '09:05', '17:53');
insert into attendance_detail values(473, 459, '09:11', '14:19');
insert into attendance_detail values(474, 460, '09:03', '17:53');
insert into attendance_detail values(475, 461, '09:07', '17:50');
insert into attendance_detail values(476, 462, '09:05', '17:50');
insert into attendance_detail values(477, 463, '09:07', '17:59');
insert into attendance_detail values(478, 464, '09:04', '17:56');
insert into attendance_detail values(479, 465, '09:10', '17:58');
insert into attendance_detail values(480, 466, '09:04', '17:54');
insert into attendance_detail values(481, 467, '09:04', '17:55');
insert into attendance_detail values(482, 468, '09:04', '17:50');
insert into attendance_detail values(483, 469, '09:06', '17:57');
insert into attendance_detail values(484, 470, '09:01', '17:59');
insert into attendance_detail values(485, 471, '09:05', '17:53');
insert into attendance_detail values(486, 472, '09:00', '17:53');
insert into attendance_detail values(487, 473, '09:30', '17:51');
insert into attendance_detail values(488, 474, '09:08', '17:57');
insert into attendance_detail values(489, 475, '09:16', '14:00');
insert into attendance_detail values(490, 476, '09:01', '17:56');
insert into attendance_detail values(491, 477, '09:00', '17:59');
insert into attendance_detail values(492, 478, '09:01', '17:52');
insert into attendance_detail values(493, 479, '10:31', '17:52');
insert into attendance_detail values(494, 480, '09:00', '17:53');
insert into attendance_detail values(495, 481, '09:10', '17:54');
insert into attendance_detail values(496, 482, '09:32', '17:51');
insert into attendance_detail values(497, 483, '09:09', '17:59');
insert into attendance_detail values(498, 484, '09:09', '17:54');
insert into attendance_detail values(499, 485, '09:03', '17:53');
insert into attendance_detail values(500, 486, '09:03', '17:54');
insert into attendance_detail values(501, 487, '10:45', '17:54');
insert into attendance_detail values(502, 488, '09:08', '17:59');
insert into attendance_detail values(503, 489, '09:03', '17:57');
insert into attendance_detail values(504, 490, '09:03', '17:52');
insert into attendance_detail values(505, 491, '09:10', '17:52');
insert into attendance_detail values(506, 492, '09:01', '17:59');
insert into attendance_detail values(507, 493, '09:08', '17:52');
insert into attendance_detail values(508, 494, '09:00', '17:54');
insert into attendance_detail values(509, 495, '09:08', '17:56');
insert into attendance_detail values(510, 496, '09:03', '15:40');
insert into attendance_detail values(511, 497, '09:04', '17:59');
insert into attendance_detail values(512, 498, '09:06', '17:52');
insert into attendance_detail values(513, 499, '09:03', '17:59');
insert into attendance_detail values(514, 500, '09:01', '17:54');
insert into attendance_detail values(515, 501, '09:16', '17:53');
insert into attendance_detail values(516, 502, '09:06', '17:54');
insert into attendance_detail values(517, 503, '09:21', '17:54');
insert into attendance_detail values(518, 504, '09:09', '17:53');
insert into attendance_detail values(519, 505, '09:01', '17:55');
insert into attendance_detail values(520, 506, '09:08', '17:52');
insert into attendance_detail values(521, 507, '09:10', '17:50');
insert into attendance_detail values(522, 508, '09:07', '17:56');
insert into attendance_detail values(523, 509, '10:56', '14:55');
insert into attendance_detail values(524, 509, '15:54', '17:59');
insert into attendance_detail values(525, 510, '09:00', '17:53');
insert into attendance_detail values(526, 511, '09:01', '17:58');
insert into attendance_detail values(527, 512, '09:05', '17:53');
insert into attendance_detail values(528, 513, '09:09', '17:50');
insert into attendance_detail values(529, 514, '09:08', '17:53');
insert into attendance_detail values(530, 515, '09:02', '17:54');
insert into attendance_detail values(531, 516, '09:04', '17:50');
insert into attendance_detail values(532, 517, '09:09', '17:58');
insert into attendance_detail values(533, 518, '09:09', '17:50');
insert into attendance_detail values(534, 519, '09:05', '17:50');
insert into attendance_detail values(535, 520, '09:00', '17:55');
insert into attendance_detail values(588, 573, '09:01', '17:52');
insert into attendance_detail values(589, 574, '09:10', '17:53');
insert into attendance_detail values(590, 575, '09:10', '17:51');
insert into attendance_detail values(591, 576, '09:08', '17:53');
insert into attendance_detail values(592, 577, '09:01', '17:54');
insert into attendance_detail values(593, 578, '09:03', '17:56');
insert into attendance_detail values(594, 579, '09:05', '17:54');
insert into attendance_detail values(595, 580, '09:03', '17:54');
insert into attendance_detail values(596, 581, '09:03', '17:57');
insert into attendance_detail values(597, 582, '09:01', '17:55');
insert into attendance_detail values(598, 583, '09:04', '17:59');
insert into attendance_detail values(599, 584, '09:01', '17:54');
insert into attendance_detail values(600, 585, '09:00', '17:55');
insert into attendance_detail values(601, 586, '09:01', '17:59');
insert into attendance_detail values(602, 587, '09:10', '17:58');
insert into attendance_detail values(603, 588, '09:28', '17:59');
insert into attendance_detail values(604, 589, '09:09', '17:50');
insert into attendance_detail values(605, 590, '09:04', '17:50');
insert into attendance_detail values(606, 591, '09:01', '17:59');
insert into attendance_detail values(607, 592, '10:33', '10:26');
insert into attendance_detail values(608, 592, '11:58', '17:52');
insert into attendance_detail values(609, 593, '09:01', '17:50');
insert into attendance_detail values(610, 594, '09:00', '17:50');
insert into attendance_detail values(611, 595, '09:06', '17:58');
insert into attendance_detail values(612, 596, '09:04', '17:52');
insert into attendance_detail values(613, 597, '09:06', '17:51');
insert into attendance_detail values(614, 598, '09:03', '17:55');
insert into attendance_detail values(615, 599, '09:01', '17:57');
insert into attendance_detail values(616, 600, '09:17', '10:48');
insert into attendance_detail values(617, 600, '11:52', '17:58');
insert into attendance_detail values(618, 601, '09:09', '17:53');
insert into attendance_detail values(619, 602, '09:17', '17:51');
insert into attendance_detail values(620, 603, '10:15', '11:02');
insert into attendance_detail values(621, 604, '09:00', '17:57');
insert into attendance_detail values(622, 605, '09:07', '17:54');
insert into attendance_detail values(623, 606, '09:09', '17:59');
insert into attendance_detail values(624, 607, '09:03', '17:50');
insert into attendance_detail values(625, 608, '09:01', '17:51');
insert into attendance_detail values(626, 609, '09:08', '17:57');
insert into attendance_detail values(627, 610, '09:08', '14:44');
insert into attendance_detail values(628, 610, '15:39', '17:59');
insert into attendance_detail values(629, 611, '09:10', '17:51');
insert into attendance_detail values(630, 612, '09:08', '17:54');
insert into attendance_detail values(631, 613, '09:08', '10:45');
insert into attendance_detail values(632, 613, '11:50', '17:59');
insert into attendance_detail values(633, 614, '09:09', '17:51');
insert into attendance_detail values(634, 615, '09:03', '17:52');
insert into attendance_detail values(635, 616, '09:02', '17:52');
insert into attendance_detail values(636, 617, '09:05', '15:07');
insert into attendance_detail values(637, 617, '16:59', '17:56');
insert into attendance_detail values(638, 618, '09:04', '17:53');
insert into attendance_detail values(639, 619, '09:05', '17:52');
insert into attendance_detail values(640, 620, '09:07', '17:58');
insert into attendance_detail values(641, 621, '09:05', '17:52');
insert into attendance_detail values(642, 622, '09:01', '17:56');
insert into attendance_detail values(643, 623, '09:00', '17:54');
insert into attendance_detail values(644, 624, '09:07', '17:57');
insert into attendance_detail values(646, 626, '09:09', '17:56');
insert into attendance_detail values(647, 627, '09:06', '17:52');
insert into attendance_detail values(649, 629, '09:09', '17:50');
insert into attendance_detail values(650, 630, '09:02', '17:56');
insert into attendance_detail values(652, 632, '09:09', '17:59');
insert into attendance_detail values(653, 633, '09:02', '17:52');
insert into attendance_detail values(654, 634, '09:05', '17:51');
insert into attendance_detail values(656, 636, '09:10', '17:54');
insert into attendance_detail values(657, 637, '09:02', '17:59');
insert into attendance_detail values(659, 639, '09:07', '17:50');
insert into attendance_detail values(660, 640, '09:08', '17:51');
insert into attendance_detail values(661, 641, '09:10', '17:54');
insert into attendance_detail values(662, 642, '09:07', '14:03');
insert into attendance_detail values(663, 643, '09:08', '17:58');
insert into attendance_detail values(664, 644, '09:01', '17:50');
insert into attendance_detail values(665, 645, '09:00', '17:57');
insert into attendance_detail values(666, 646, '09:10', '17:57');
insert into attendance_detail values(668, 648, '09:04', '17:53');
insert into attendance_detail values(669, 649, '09:03', '17:59');
insert into attendance_detail values(670, 650, '09:09', '17:56');
insert into attendance_detail values(671, 651, '10:35', '15:00');
insert into attendance_detail values(672, 652, '09:00', '17:59');
insert into attendance_detail values(673, 653, '09:01', '17:54');
insert into attendance_detail values(674, 654, '09:02', '17:53');
insert into attendance_detail values(675, 655, '09:05', '17:53');
insert into attendance_detail values(676, 656, '09:45', '17:52');
insert into attendance_detail values(677, 657, '09:02', '17:50');
insert into attendance_detail values(678, 658, '09:09', '17:56');
insert into attendance_detail values(679, 659, '09:10', '17:54');
insert into attendance_detail values(680, 660, '09:00', '17:50');
insert into attendance_detail values(681, 661, '09:07', '17:57');
insert into attendance_detail values(682, 662, '09:00', '17:52');
insert into attendance_detail values(683, 663, '09:06', '17:58');
insert into attendance_detail values(684, 664, '09:08', '17:59');
insert into attendance_detail values(685, 665, '09:50', '17:58');
insert into attendance_detail values(686, 666, '09:10', '17:53');
insert into attendance_detail values(687, 667, '09:02', '17:54');
insert into attendance_detail values(688, 668, '09:08', '17:59');
insert into attendance_detail values(689, 669, '09:01', '17:54');
insert into attendance_detail values(690, 670, '09:01', '17:55');
insert into attendance_detail values(691, 671, '09:04', '17:52');
insert into attendance_detail values(692, 672, '09:07', '17:52');
insert into attendance_detail values(693, 673, '09:50', '17:55');
insert into attendance_detail values(694, 674, '09:08', '17:56');
insert into attendance_detail values(695, 675, '09:07', '17:51');
insert into attendance_detail values(696, 676, '10:23', '15:48');
insert into attendance_detail values(697, 676, '16:36', '17:56');
insert into attendance_detail values(698, 677, '10:39', '17:55');
insert into attendance_detail values(699, 678, '09:10', '17:53');
insert into attendance_detail values(700, 679, '09:08', '17:52');
insert into attendance_detail values(701, 680, '09:10', '17:56');
insert into attendance_detail values(702, 681, '09:06', '17:56');
insert into attendance_detail values(703, 682, '09:03', '17:58');
insert into attendance_detail values(704, 683, '10:33', '14:04');
insert into attendance_detail values(705, 684, '09:10', '17:57');
insert into attendance_detail values(706, 685, '09:06', '17:50');
insert into attendance_detail values(707, 686, '09:02', '17:52');
insert into attendance_detail values(708, 687, '09:07', '13:51');
insert into attendance_detail values(709, 688, '10:45', '16:51');
insert into attendance_detail values(710, 689, '09:04', '17:54');
insert into attendance_detail values(711, 690, '09:10', '17:59');
insert into attendance_detail values(712, 691, '09:04', '17:54');
insert into attendance_detail values(713, 692, '10:35', '17:52');
insert into attendance_detail values(714, 693, '09:10', '17:55');
insert into attendance_detail values(715, 694, '10:15', '17:53');
insert into attendance_detail values(716, 695, '09:06', '17:52');
insert into attendance_detail values(717, 696, '09:01', '17:56');
insert into attendance_detail values(718, 697, '09:04', '17:58');
insert into attendance_detail values(719, 698, '09:03', '17:59');
insert into attendance_detail values(720, 699, '09:07', '17:58');
insert into attendance_detail values(721, 700, '09:03', '17:59');
insert into attendance_detail values(722, 701, '09:54', '17:57');
insert into attendance_detail values(723, 702, '09:05', '17:53');
insert into attendance_detail values(776, 755, '09:07', '17:53');
insert into attendance_detail values(777, 756, '09:06', '17:53');
insert into attendance_detail values(778, 757, '09:04', '17:53');
insert into attendance_detail values(779, 758, '09:00', '17:55');
insert into attendance_detail values(780, 759, '09:01', '17:52');
insert into attendance_detail values(781, 760, '09:06', '17:52');
insert into attendance_detail values(782, 761, '09:03', '17:58');
insert into attendance_detail values(783, 762, '09:01', '17:50');
insert into attendance_detail values(784, 763, '09:00', '17:52');
insert into attendance_detail values(785, 764, '09:10', '17:57');
insert into attendance_detail values(786, 765, '09:00', '17:50');
insert into attendance_detail values(787, 766, '09:08', '17:59');
insert into attendance_detail values(788, 767, '09:03', '17:56');
insert into attendance_detail values(789, 768, '09:08', '17:54');
insert into attendance_detail values(790, 769, '09:10', '17:54');
insert into attendance_detail values(791, 770, '09:09', '17:55');
insert into attendance_detail values(792, 771, '09:10', '17:55');
insert into attendance_detail values(793, 772, '09:06', '17:58');
insert into attendance_detail values(794, 773, '09:07', '17:59');
insert into attendance_detail values(795, 774, '09:03', '15:02');
insert into attendance_detail values(796, 775, '09:03', '17:51');
insert into attendance_detail values(797, 776, '09:05', '17:57');
insert into attendance_detail values(798, 777, '09:01', '17:53');
insert into attendance_detail values(799, 778, '09:09', '17:55');
insert into attendance_detail values(800, 779, '09:56', '17:53');
insert into attendance_detail values(801, 780, '09:56', '17:50');
insert into attendance_detail values(802, 781, '09:09', '17:51');
insert into attendance_detail values(803, 782, '09:07', '17:52');
insert into attendance_detail values(804, 783, '09:09', '17:52');
insert into attendance_detail values(805, 784, '09:07', '17:53');
insert into attendance_detail values(806, 785, '09:05', '14:22');
insert into attendance_detail values(807, 785, '15:59', '17:59');
insert into attendance_detail values(808, 786, '09:09', '17:54');
insert into attendance_detail values(809, 787, '09:08', '17:50');
insert into attendance_detail values(810, 788, '09:09', '17:54');
insert into attendance_detail values(811, 789, '09:01', '17:56');
insert into attendance_detail values(812, 790, '09:03', '17:54');
insert into attendance_detail values(813, 791, '09:08', '17:51');
insert into attendance_detail values(814, 792, '09:28', '17:58');
insert into attendance_detail values(815, 793, '09:28', '17:51');
insert into attendance_detail values(816, 794, '09:09', '17:57');
insert into attendance_detail values(817, 795, '09:05', '17:58');
insert into attendance_detail values(818, 796, '09:06', '17:56');
insert into attendance_detail values(819, 797, '09:02', '17:56');
insert into attendance_detail values(820, 798, '09:08', '17:52');
insert into attendance_detail values(821, 799, '09:09', '17:59');
insert into attendance_detail values(822, 800, '09:09', '17:51');
insert into attendance_detail values(823, 801, '09:09', '17:52');
insert into attendance_detail values(824, 802, '09:05', '17:53');
insert into attendance_detail values(825, 803, '09:10', '17:52');
insert into attendance_detail values(826, 804, '09:05', '17:55');
insert into attendance_detail values(827, 805, '09:05', '17:59');
insert into attendance_detail values(828, 806, '09:03', '17:58');
insert into attendance_detail values(829, 807, '09:03', '17:53');
insert into attendance_detail values(830, 808, '10:15', '17:56');
insert into attendance_detail values(831, 809, '09:05', '17:50');
insert into attendance_detail values(832, 810, '09:09', '17:52');
insert into attendance_detail values(833, 811, '10:55', '17:59');
insert into attendance_detail values(834, 812, '09:06', '17:53');
insert into attendance_detail values(835, 813, '09:06', '17:55');
insert into attendance_detail values(836, 814, '09:09', '17:50');
insert into attendance_detail values(837, 815, '09:16', '17:55');
insert into attendance_detail values(838, 816, '09:04', '17:54');
insert into attendance_detail values(839, 817, '10:19', '17:57');
insert into attendance_detail values(840, 818, '09:03', '17:59');
insert into attendance_detail values(841, 819, '09:03', '17:58');
insert into attendance_detail values(842, 820, '09:06', '17:54');
insert into attendance_detail values(843, 821, '09:58', '17:55');
insert into attendance_detail values(844, 822, '09:09', '17:50');
insert into attendance_detail values(845, 823, '09:01', '17:59');
insert into attendance_detail values(846, 824, '09:47', '11:43');
insert into attendance_detail values(847, 824, '12:53', '17:52');
insert into attendance_detail values(848, 825, '09:03', '17:59');
insert into attendance_detail values(849, 826, '09:09', '17:52');
insert into attendance_detail values(850, 827, '09:08', '17:58');
insert into attendance_detail values(851, 828, '09:42', '17:55');
insert into attendance_detail values(852, 829, '09:07', '17:53');
insert into attendance_detail values(853, 830, '09:00', '17:56');
insert into attendance_detail values(854, 831, '10:27', '17:56');
insert into attendance_detail values(855, 832, '09:46', '11:51');
insert into attendance_detail values(857, 834, '09:01', '17:52');
insert into attendance_detail values(858, 835, '09:07', '17:54');
insert into attendance_detail values(859, 836, '09:10', '11:51');
insert into attendance_detail values(860, 836, '12:38', '17:50');
insert into attendance_detail values(861, 837, '09:07', '17:50');
insert into attendance_detail values(862, 838, '09:04', '17:50');
insert into attendance_detail values(863, 839, '09:05', '17:58');
insert into attendance_detail values(864, 840, '10:12', '17:53');
insert into attendance_detail values(867, 842, '09:05', '17:52');
insert into attendance_detail values(868, 843, '09:08', '17:52');
insert into attendance_detail values(869, 844, '09:04', '17:52');
insert into attendance_detail values(870, 845, '09:02', '17:58');
insert into attendance_detail values(871, 846, '09:10', '17:59');
insert into attendance_detail values(872, 847, '09:08', '17:54');
insert into attendance_detail values(874, 849, '09:01', '17:51');
insert into attendance_detail values(875, 850, '10:15', '17:50');
insert into attendance_detail values(876, 851, '09:00', '17:53');
insert into attendance_detail values(877, 852, '09:08', '17:56');
insert into attendance_detail values(879, 854, '09:10', '17:57');
insert into attendance_detail values(880, 855, '09:05', '14:14');
insert into attendance_detail values(881, 855, '15:41', '17:51');
insert into attendance_detail values(882, 856, '09:03', '17:54');
insert into attendance_detail values(886, 859, '09:06', '17:59');
insert into attendance_detail values(887, 860, '09:08', '17:53');
insert into attendance_detail values(888, 861, '09:00', '17:53');
insert into attendance_detail values(889, 862, '09:49', '17:50');
insert into attendance_detail values(890, 863, '10:30', '10:00');
insert into attendance_detail values(891, 863, '11:51', '17:51');
insert into attendance_detail values(892, 864, '09:03', '17:54');
insert into attendance_detail values(893, 865, '09:01', '17:59');
insert into attendance_detail values(894, 866, '09:05', '15:23');
insert into attendance_detail values(895, 867, '09:02', '17:52');
insert into attendance_detail values(896, 868, '09:02', '17:54');
insert into attendance_detail values(897, 869, '09:03', '17:57');
insert into attendance_detail values(898, 870, '09:01', '17:57');
insert into attendance_detail values(899, 871, '10:55', '17:55');
insert into attendance_detail values(900, 872, '09:03', '17:58');
insert into attendance_detail values(901, 873, '09:00', '17:57');
insert into attendance_detail values(902, 874, '09:00', '17:51');
insert into attendance_detail values(903, 875, '09:10', '17:54');
insert into attendance_detail values(904, 876, '09:03', '17:51');
insert into attendance_detail values(905, 877, '09:00', '17:58');
insert into attendance_detail values(906, 878, '09:04', '17:53');
insert into attendance_detail values(907, 879, '09:10', '17:58');
insert into attendance_detail values(908, 880, '09:00', '17:59');
insert into attendance_detail values(909, 881, '09:03', '17:52');
insert into attendance_detail values(910, 882, '09:03', '17:51');
insert into attendance_detail values(911, 883, '09:06', '17:55');
insert into attendance_detail values(912, 884, '09:01', '17:54');
insert into attendance_detail values(965, 937, '09:05', '17:50');
insert into attendance_detail values(966, 938, '09:10', '17:53');
insert into attendance_detail values(967, 939, '09:02', '17:53');
insert into attendance_detail values(968, 940, '09:00', '17:58');
insert into attendance_detail values(969, 941, '09:04', '17:51');
insert into attendance_detail values(970, 942, '09:03', '17:56');
insert into attendance_detail values(971, 943, '09:08', '17:53');
insert into attendance_detail values(972, 944, '09:04', '17:56');
insert into attendance_detail values(973, 945, '09:10', '17:53');
insert into attendance_detail values(974, 946, '09:03', '17:52');
insert into attendance_detail values(975, 947, '09:09', '17:54');
insert into attendance_detail values(976, 948, '09:01', '17:50');
insert into attendance_detail values(977, 949, '09:10', '17:58');
insert into attendance_detail values(978, 950, '09:57', '17:54');
insert into attendance_detail values(979, 951, '09:45', '17:50');
insert into attendance_detail values(980, 952, '09:06', '17:56');
insert into attendance_detail values(981, 953, '09:07', '17:57');
insert into attendance_detail values(982, 954, '09:05', '17:51');
insert into attendance_detail values(983, 955, '09:05', '17:56');
insert into attendance_detail values(984, 956, '09:06', '17:53');
insert into attendance_detail values(985, 957, '09:26', '16:21');
insert into attendance_detail values(986, 958, '09:58', '17:56');
insert into attendance_detail values(987, 959, '09:03', '17:50');
insert into attendance_detail values(988, 960, '09:08', '17:51');
insert into attendance_detail values(989, 961, '10:59', '17:57');
insert into attendance_detail values(990, 962, '09:03', '17:54');
insert into attendance_detail values(991, 963, '09:06', '17:57');
insert into attendance_detail values(992, 964, '09:08', '17:51');
insert into attendance_detail values(993, 965, '09:02', '17:55');
insert into attendance_detail values(994, 966, '09:00', '17:58');
insert into attendance_detail values(995, 967, '09:22', '17:54');
insert into attendance_detail values(996, 968, '09:02', '17:57');
insert into attendance_detail values(997, 969, '09:01', '17:50');
insert into attendance_detail values(998, 970, '09:08', '17:50');
insert into attendance_detail values(999, 971, '09:03', '17:55');
insert into attendance_detail values(1000, 972, '09:07', '17:53');
insert into attendance_detail values(1001, 973, '09:09', '17:54');
insert into attendance_detail values(1002, 974, '09:03', '17:56');
insert into attendance_detail values(1003, 975, '09:09', '17:55');
insert into attendance_detail values(1004, 976, '09:02', '17:56');
insert into attendance_detail values(1005, 977, '09:10', '17:57');
insert into attendance_detail values(1006, 978, '09:03', '17:56');
insert into attendance_detail values(1007, 979, '09:08', '14:56');
insert into attendance_detail values(1008, 979, '15:42', '17:53');
insert into attendance_detail values(1009, 980, '09:00', '17:52');
insert into attendance_detail values(1010, 981, '09:09', '17:52');
insert into attendance_detail values(1011, 982, '10:16', '17:56');
insert into attendance_detail values(1012, 983, '09:09', '17:50');
insert into attendance_detail values(1013, 984, '09:09', '17:56');
insert into attendance_detail values(1014, 985, '10:47', '17:57');
insert into attendance_detail values(1015, 986, '09:04', '17:53');
insert into attendance_detail values(1016, 987, '09:08', '17:53');
insert into attendance_detail values(1017, 988, '09:08', '17:57');
insert into attendance_detail values(1019, 990, '09:00', '17:51');
insert into attendance_detail values(1021, 992, '09:10', '17:55');
insert into attendance_detail values(1022, 993, '09:06', '17:56');
insert into attendance_detail values(1023, 994, '09:05', '17:50');
insert into attendance_detail values(1025, 996, '09:02', '17:58');
insert into attendance_detail values(1026, 997, '09:10', '17:50');
insert into attendance_detail values(1029, 1000, '09:05', '17:53');
insert into attendance_detail values(1030, 1001, '10:40', '17:52');
